"","title","runtime","genre","keywords"
"65","Godfather of Harlem             ",55,"Drama","harlem manhattan new york city, violence, gang war, gang, gang leader"
"66","Prodigal Son             ",44,"Crime, Drama, Mystery","profiler, nypd, new york city, murder investigation, childhood trauma"
"67","Midsomer Murders             ",90,"Crime, Drama, Mystery","village, fictional town, police procedural, latex gloves, camera"
"68","Modern Family             ",22,"Comedy, Drama, Romance","ensemble cast, second marriage, gay relationship, blended family, older man younger woman relationship"
"69","Modern Family             ",490,"Comedy, Drama, Romance","ensemble cast, second marriage, gay relationship, blended family, older man younger woman relationship"
"70","Dirty John             ",50,"Drama","based on podcast"
"71","9-1-1             ",43,"Action, Drama, Thriller","emergency, emergency responder, firefighter, first responder, police officer"
"72","Atypical             ",30,"Comedy, Drama","autism, penguins, brother sister relationship, overprotective mother, protective sister"
"73","The 100             ",43,"Drama, Mystery, Sci-Fi","post apocalypse, female lead, based on book, space station, number in series title"
"74","Mindhunter             ",60,"Crime, Drama, Thriller","psychology, psychological study, psychopath, prison, interview"
"75","The Simpsons             ",22,"Animation, Comedy","cult tv, dysfunctional family, beer, sitcom, satire"
"76","Succession             ",60,"Drama","family relationships, media empire, ceo, patriarchy, employee employee relationship"
"77","The Handmaid's Tale             ",60,"Drama, Sci-Fi, Thriller","rape, dystopia, violence against women, slavery, torture"
"78","You             ",45,"Crime, Drama, Romance","bookstore, new york, obsessive love, stalker, fatal attraction"
"79","Legacies             ",45,"Adventure, Drama, Fantasy","vampire, witch, high school, spin off, sequel"
"80","Mrs. Fletcher             ",31,"Comedy","female nudity, porn, character name as series title, surname in series title, female protagonist"
"81","Suits             ",44,"Comedy, Drama","photographic memory, paralegal, lawyer, new york city, judiciary"
"82","It's Always Sunny in Philadelphia             ",22,"Comedy","black comedy, satire, crude humor, cringe comedy, philadelphia"
"83","SEAL Team             ",43,"Action, Drama, War",""
"84","Final Space             ",30,"Animation, Action, Adventure","astronaut, spacecraft, outer space, space exploration, alien"
"85","Chernobyl             ",330,"Drama, History, Thriller","propaganda, tv mini series, nuclear accident, ussr, soviet union"
"86","Westworld             ",62,"Drama, Mystery, Sci-Fi","artificial intelligence, robot, based on film, android, moral dilemma"
"87","The Sopranos             ",55,"Crime, Drama","violence, mafia, psychiatrist, cheating husband, cult tv"
"88","True Detective             ",55,"Crime, Drama, Mystery","police investigation, police detective, southern gothic, murder, anthology"
"89","DC's Legends of Tomorrow             ",42,"Action, Adventure, Drama","dc comics, 2010s, based on comic book, time travel, dc arrowverse"
"90","Unbelievable             ",58,"Crime, Drama","female detective, rape, investigation, violence, based on true story"
"91","How I Met Your Mother             ",22,"Comedy, Romance","group of friends, friendship, best friend, canadian abroad, male camaraderie"
"92","How I Met Your Mother             ",NA,"Comedy, Romance","group of friends, friendship, best friend, canadian abroad, male camaraderie"
"93","The Moodys             ",30,"",""
"94","Lost in Space             ",60,"Adventure, Drama, Family","three word series title, family relationships, spaceship, alien planet, remake"
"95","Dark             ",60,"Crime, Drama, Mystery","time loop, cave, mysterious disappearance, investigation, search for missing person"
"96","Evil             ",42,"Crime, Drama, Horror","investigating demonic possession, debunking, evil forensic psychologist, forensic psychologist, master manipulator"
"97","Fleabag             ",27,"Comedy, Drama","promiscuity, sister sister relationship, female friendship, stepmother stepdaughter relationship, break up"
"98","The Vampire Diaries             ",43,"Drama, Fantasy, Horror","vampire, high school, teen romance, based on book, witch"
"99","Gotham             ",42,"Action, Crime, Drama","police, dc comics, based on comic book, city, corruption"
"100","Boy Meets World             ",23,"Comedy, Drama, Family","neighbor, teen sitcom, teen drama, 14 year old, teenage protagonist"
"101","Mad Men             ",47,"Drama","advertising, chain smoking, 1960s, new york, drinking"
